,year,ID,r_c,r_r,r_poi,FAR
0,1,14060.0,0.1,0.6,0.3,2.0
1,1,14683.0,0.6,0.3,0.1,2.2
2,1,14704.0,0.2,0.4,0.4,2.1
3,1,11969.0,0.6,0.3,0.1,2.2
4,1,14636.0,0.7,0.2,0.1,2.2
5,1,14532.0,0.4,0.2,0.4,1.9
6,2,14333.0,0.6,0.2,0.2,2.2
7,2,12715.0,0.4,0.3,0.3,2.0
8,2,14581.0,0.4,0.2,0.4,1.9
9,2,14482.0,0.2,0.4,0.4,2.2
10,2,14088.0,0.6,0.3,0.1,2.0
11,2,14092.0,0.4,0.2,0.4,2.0
12,3,14131.0,0.6,0.3,0.1,2.2
13,3,14703.0,0.3,0.3,0.4,2.1
14,3,14491.0,0.5,0.2,0.3,1.9
15,3,14509.0,0.2,0.4,0.4,2.1
16,3,14057.0,0.7,0.2,0.1,2.0
17,3,12678.0,0.7,0.2,0.1,1.9
18,4,14700.0,0.3,0.3,0.4,1.9
19,4,14477.0,0.4,0.3,0.3,1.9
20,4,14541.0,0.1,0.7,0.2,2.2
21,4,14510.0,0.4,0.3,0.3,1.8
22,4,14490.0,0.4,0.2,0.4,2.0
23,4,14706.0,0.3,0.5,0.2,1.9
24,5,15554.0,0.2,0.4,0.4,1.9
25,5,14634.0,0.6,0.3,0.1,2.2
26,5,14117.0,0.4,0.2,0.4,2.2
27,5,14479.0,0.6,0.2,0.2,2.1
28,5,14659.0,0.6,0.1,0.3,2.2
29,5,14656.0,0.4,0.2,0.4,2.2
30,6,14837.0,0.1,0.7,0.2,2.2
31,6,14076.0,0.2,0.7,0.1,2.2
32,6,14075.0,0.6,0.3,0.1,2.2
33,6,14649.0,0.6,0.2,0.2,1.9
34,6,14519.0,0.6,0.3,0.1,2.2
35,6,14125.0,0.6,0.2,0.2,2.1
36,7,14709.0,0.5,0.2,0.3,1.9
37,7,14538.0,0.6,0.1,0.3,2.0
38,7,14512.0,0.7,0.2,0.1,1.9
39,7,14099.0,0.6,0.2,0.2,2.2
40,7,14497.0,0.6,0.1,0.3,2.0
41,7,14332.0,0.2,0.4,0.4,2.2
42,8,14660.0,0.6,0.2,0.2,2.2
43,8,6377.0,0.6,0.1,0.3,2.0
44,8,14543.0,0.6,0.3,0.1,2.2
45,8,14682.0,0.4,0.2,0.4,1.8
46,8,14524.0,0.7,0.2,0.1,2.1
47,8,14475.0,0.4,0.2,0.4,1.8
48,9,14595.0,0.6,0.2,0.2,2.2
49,9,14702.0,0.4,0.3,0.3,2.2
50,9,14757.0,0.4,0.2,0.4,1.9
51,9,14728.0,0.2,0.4,0.4,1.9
52,9,14513.0,0.6,0.3,0.1,2.0
53,9,14336.0,0.6,0.2,0.2,1.9
54,10,14518.0,0.6,0.3,0.1,1.9
55,10,14601.0,0.3,0.3,0.4,2.2
56,10,14498.0,0.6,0.2,0.2,2.1
57,10,14054.0,0.7,0.2,0.1,2.0
58,10,14100.0,0.3,0.5,0.2,2.0
59,10,14628.0,0.5,0.2,0.3,2.2
60,11,48.0,0.6,0.3,0.1,2.2
61,11,13346.0,0.7,0.2,0.1,2.1
62,11,15542.0,0.3,0.5,0.2,1.9
63,11,14685.0,0.3,0.5,0.2,2.2
64,11,14102.0,0.7,0.2,0.1,1.8
65,11,14721.0,0.4,0.2,0.4,2.2
66,12,14655.0,0.6,0.1,0.3,2.0
67,12,14610.0,0.3,0.3,0.4,1.9
68,12,15543.0,0.6,0.2,0.2,2.2
69,12,14071.0,0.6,0.3,0.1,2.2
70,12,14605.0,0.6,0.1,0.3,2.2
71,12,14542.0,0.7,0.2,0.1,1.9
