,year,ID,r_c,r_r,r_poi,FAR
0,1,14697.0,0.2,0.7,0.1,1.8
1,1,14631.0,0.3,0.3,0.4,2.1
2,1,14621.0,0.6,0.2,0.2,1.9
3,1,14700.0,0.1,0.6,0.3,2.2
4,1,11966.0,0.3,0.5,0.2,2.2
5,1,14764.0,0.1,0.6,0.3,2.1
6,2,14649.0,0.4,0.2,0.4,2.2
7,2,14132.0,0.6,0.3,0.1,2.0
8,2,14668.0,0.3,0.5,0.2,2.0
9,2,14581.0,0.6,0.3,0.1,2.2
10,2,14478.0,0.3,0.5,0.2,2.0
11,2,11969.0,0.4,0.2,0.4,2.1
12,3,14524.0,0.4,0.3,0.3,2.0
13,3,15543.0,0.4,0.2,0.4,2.1
14,3,12091.0,0.4,0.3,0.3,2.1
15,3,14077.0,0.7,0.2,0.1,1.8
16,3,14653.0,0.2,0.7,0.1,2.1
17,3,14354.0,0.2,0.7,0.1,2.0
18,4,13763.0,0.1,0.7,0.2,1.8
19,4,14657.0,0.6,0.3,0.1,2.0
20,4,14706.0,0.6,0.2,0.2,1.8
21,4,14702.0,0.6,0.1,0.3,1.9
22,4,14098.0,0.2,0.7,0.1,1.8
23,4,14336.0,0.3,0.5,0.2,2.2
24,5,14841.0,0.5,0.2,0.3,1.8
25,5,14681.0,0.6,0.2,0.2,1.8
26,5,14622.0,0.2,0.6,0.2,1.9
27,5,14659.0,0.2,0.7,0.1,2.2
28,5,14721.0,0.2,0.7,0.1,2.1
29,5,14701.0,0.3,0.5,0.2,2.1
30,6,14851.0,0.2,0.4,0.4,2.0
31,6,14848.0,0.1,0.6,0.3,1.8
32,6,14762.0,0.2,0.7,0.1,2.2
33,6,14595.0,0.3,0.3,0.4,2.0
34,6,14499.0,0.2,0.7,0.1,2.1
35,6,14518.0,0.2,0.4,0.4,2.0
36,7,14500.0,0.1,0.6,0.3,2.0
37,7,14707.0,0.1,0.6,0.3,2.2
38,7,14660.0,0.6,0.2,0.2,2.1
39,7,14610.0,0.3,0.3,0.4,2.1
40,7,14685.0,0.4,0.2,0.4,2.1
41,7,14509.0,0.6,0.3,0.1,2.1
42,8,14719.0,0.4,0.3,0.3,1.8
43,8,48.0,0.1,0.7,0.2,2.1
44,8,14483.0,0.1,0.7,0.2,1.8
45,8,14123.0,0.6,0.1,0.3,2.1
46,8,14504.0,0.6,0.2,0.2,2.0
47,8,14691.0,0.3,0.3,0.4,2.1
48,9,14075.0,0.7,0.2,0.1,2.0
49,9,14124.0,0.4,0.2,0.4,2.2
50,9,14122.0,0.2,0.7,0.1,1.8
51,9,14563.0,0.3,0.3,0.4,1.9
52,9,14490.0,0.4,0.3,0.3,2.2
53,9,14671.0,0.3,0.3,0.4,2.1
54,10,14586.0,0.4,0.2,0.4,1.8
55,10,14603.0,0.1,0.6,0.3,1.8
56,10,14542.0,0.2,0.7,0.1,2.2
57,10,14709.0,0.1,0.7,0.2,1.9
58,10,14728.0,0.6,0.2,0.2,2.2
59,10,14497.0,0.7,0.2,0.1,2.1
60,11,14695.0,0.4,0.3,0.3,1.8
61,11,14729.0,0.5,0.2,0.3,2.0
62,11,14482.0,0.4,0.2,0.4,1.8
63,11,14844.0,0.4,0.2,0.4,2.1
64,11,14646.0,0.2,0.4,0.4,2.2
65,11,14099.0,0.4,0.2,0.4,2.2
66,12,15560.0,0.6,0.3,0.1,2.0
67,12,14850.0,0.2,0.7,0.1,2.0
68,12,14625.0,0.3,0.3,0.4,1.9
69,12,14699.0,0.3,0.3,0.4,1.8
70,12,14597.0,0.6,0.2,0.2,2.0
71,12,14620.0,0.1,0.6,0.3,2.0
