,year,ID,r_c,r_r,r_poi,FAR
0,1,11966.0,0.6,0.3,0.1,1.8
1,1,14667.0,0.5,0.2,0.3,2.1
2,1,14639.0,0.6,0.2,0.2,2.0
3,1,14609.0,0.6,0.3,0.1,2.1
4,1,14681.0,0.4,0.2,0.4,2.2
5,1,14524.0,0.4,0.2,0.4,2.2
6,2,14766.0,0.7,0.2,0.1,1.8
7,2,11967.0,0.1,0.7,0.2,1.8
8,2,14664.0,0.1,0.6,0.3,2.1
9,2,14601.0,0.7,0.2,0.1,1.9
10,2,14687.0,0.7,0.2,0.1,2.1
11,2,14123.0,0.2,0.7,0.1,2.0
12,3,15345.0,0.6,0.1,0.3,2.0
13,3,14479.0,0.2,0.4,0.4,1.9
14,3,14631.0,0.4,0.2,0.4,1.8
15,3,14685.0,0.1,0.6,0.3,1.8
16,3,14586.0,0.1,0.7,0.2,2.1
17,3,14480.0,0.3,0.3,0.4,1.8
18,4,14630.0,0.4,0.3,0.3,2.1
19,4,14124.0,0.6,0.2,0.2,2.2
20,4,14054.0,0.6,0.2,0.2,2.1
21,4,14131.0,0.3,0.5,0.2,1.8
22,4,14677.0,0.3,0.5,0.2,2.0
23,4,14676.0,0.6,0.2,0.2,1.8
24,5,14692.0,0.1,0.7,0.2,1.8
25,5,11969.0,0.1,0.6,0.3,1.9
26,5,14532.0,0.4,0.3,0.3,2.2
27,5,14625.0,0.2,0.6,0.2,2.1
28,5,14483.0,0.3,0.3,0.4,1.9
29,5,14723.0,0.4,0.3,0.3,2.2
30,6,14526.0,0.1,0.6,0.3,1.9
31,6,14720.0,0.3,0.3,0.4,1.9
32,6,14696.0,0.3,0.5,0.2,2.2
33,6,14708.0,0.4,0.3,0.3,2.0
34,6,14649.0,0.4,0.3,0.3,1.9
35,6,14505.0,0.4,0.2,0.4,1.8
36,7,15545.0,0.6,0.1,0.3,2.2
37,7,14354.0,0.2,0.4,0.4,1.9
38,7,12715.0,0.4,0.2,0.4,1.8
39,7,14652.0,0.1,0.6,0.3,1.8
40,7,14698.0,0.1,0.7,0.2,2.1
41,7,14070.0,0.3,0.3,0.4,1.8
42,8,14504.0,0.5,0.2,0.3,2.2
43,8,14602.0,0.2,0.7,0.1,2.2
44,8,14665.0,0.1,0.7,0.2,2.1
45,8,14715.0,0.3,0.5,0.2,1.9
46,8,14512.0,0.6,0.1,0.3,2.1
47,8,14077.0,0.3,0.5,0.2,2.2
48,9,14634.0,0.7,0.2,0.1,2.0
49,9,14854.0,0.4,0.2,0.4,2.2
50,9,14510.0,0.2,0.7,0.1,1.8
51,9,14516.0,0.3,0.3,0.4,1.9
52,9,14703.0,0.4,0.3,0.3,2.2
53,9,14099.0,0.1,0.6,0.3,2.0
54,10,14684.0,0.2,0.7,0.1,2.2
55,10,14117.0,0.6,0.2,0.2,2.1
56,10,14490.0,0.3,0.3,0.4,2.1
57,10,14603.0,0.6,0.2,0.2,2.1
58,10,6377.0,0.1,0.7,0.2,2.0
59,10,14763.0,0.4,0.2,0.4,1.9
60,11,14628.0,0.6,0.2,0.2,2.1
61,11,14693.0,0.1,0.6,0.3,1.8
62,11,14660.0,0.2,0.4,0.4,1.9
63,11,15542.0,0.4,0.2,0.4,1.9
64,11,14608.0,0.4,0.3,0.3,2.1
65,11,14606.0,0.3,0.3,0.4,2.1
66,12,14659.0,0.6,0.3,0.1,2.0
67,12,14511.0,0.6,0.3,0.1,1.9
68,12,14597.0,0.6,0.3,0.1,1.8
69,12,14477.0,0.5,0.2,0.3,1.9
70,12,14101.0,0.3,0.5,0.2,1.9
71,12,14098.0,0.3,0.5,0.2,2.0
