,year,ID,r_c,r_r,r_poi,FAR
0,1,14524.0,0.6,0.2,0.2,2.2
1,1,14117.0,0.6,0.1,0.3,2.1
2,1,14490.0,0.4,0.3,0.3,2.1
3,1,14601.0,0.3,0.3,0.4,2.2
4,1,14658.0,0.4,0.2,0.4,1.9
5,1,14706.0,0.4,0.2,0.4,1.9
6,2,14632.0,0.7,0.2,0.1,2.1
7,2,14532.0,0.4,0.2,0.4,1.9
8,2,14079.0,0.7,0.2,0.1,2.2
9,2,14333.0,0.6,0.2,0.2,2.2
10,2,14538.0,0.4,0.2,0.4,2.1
11,2,14510.0,0.6,0.1,0.3,2.2
12,3,14502.0,0.4,0.2,0.4,2.2
13,3,14099.0,0.6,0.1,0.3,1.8
14,3,14484.0,0.5,0.2,0.3,2.2
15,3,15554.0,0.5,0.2,0.3,1.9
16,3,14092.0,0.6,0.1,0.3,2.2
17,3,14475.0,0.4,0.2,0.4,2.2
18,4,6377.0,0.7,0.2,0.1,2.2
19,4,14513.0,0.4,0.2,0.4,2.0
20,4,14602.0,0.4,0.3,0.3,2.0
21,4,11966.0,0.5,0.2,0.3,2.1
22,4,15543.0,0.3,0.3,0.4,1.8
23,4,14581.0,0.7,0.2,0.1,2.1
24,5,14124.0,0.4,0.2,0.4,1.8
25,5,14709.0,0.3,0.3,0.4,2.0
26,5,14705.0,0.3,0.5,0.2,1.8
27,5,14766.0,0.4,0.2,0.4,1.9
28,5,14685.0,0.4,0.2,0.4,2.1
29,5,14543.0,0.7,0.2,0.1,2.2
30,6,15542.0,0.6,0.1,0.3,2.0
31,6,14497.0,0.6,0.1,0.3,2.1
32,6,15560.0,0.3,0.3,0.4,2.1
33,6,14757.0,0.4,0.2,0.4,1.9
34,6,14491.0,0.6,0.1,0.3,1.8
35,6,14739.0,0.6,0.1,0.3,2.0
36,7,14509.0,0.6,0.1,0.3,2.0
37,7,14702.0,0.4,0.2,0.4,2.1
38,7,14660.0,0.6,0.3,0.1,2.2
39,7,14477.0,0.6,0.1,0.3,1.8
40,7,14102.0,0.7,0.2,0.1,2.0
41,7,14542.0,0.6,0.2,0.2,2.2
42,8,14100.0,0.6,0.3,0.1,1.9
43,8,14478.0,0.4,0.3,0.3,2.1
44,8,14054.0,0.6,0.2,0.2,2.1
45,8,14098.0,0.5,0.2,0.3,2.2
46,8,14700.0,0.3,0.3,0.4,2.0
47,8,14128.0,0.6,0.1,0.3,2.0
48,9,14631.0,0.6,0.1,0.3,2.2
49,9,14482.0,0.6,0.1,0.3,2.2
50,9,14656.0,0.3,0.3,0.4,2.1
51,9,14539.0,0.7,0.2,0.1,2.2
52,9,14624.0,0.5,0.2,0.3,2.1
53,9,14057.0,0.6,0.2,0.2,1.9
54,10,14479.0,0.4,0.2,0.4,2.1
55,10,14635.0,0.5,0.2,0.3,2.1
56,10,14075.0,0.7,0.2,0.1,2.1
57,10,14659.0,0.7,0.2,0.1,2.2
58,10,14762.0,0.6,0.1,0.3,2.1
59,10,14725.0,0.6,0.3,0.1,2.2
60,11,14125.0,0.6,0.2,0.2,2.2
61,11,14504.0,0.3,0.3,0.4,2.0
62,11,14480.0,0.5,0.2,0.3,2.1
63,11,14511.0,0.7,0.2,0.1,2.2
64,11,14088.0,0.6,0.3,0.1,2.0
65,11,14610.0,0.2,0.7,0.1,2.0
66,12,14566.0,0.4,0.3,0.3,2.0
67,12,14704.0,0.2,0.4,0.4,1.9
68,12,14483.0,0.6,0.2,0.2,2.2
69,12,12091.0,0.6,0.2,0.2,2.0
70,12,14131.0,0.6,0.1,0.3,2.2
71,12,14703.0,0.6,0.2,0.2,2.1
