,year,ID,r_c,r_r,r_poi,FAR
0,1,14524.0,0.6,0.2,0.2,1.9
1,1,14117.0,0.6,0.1,0.3,2.1
2,1,14490.0,0.3,0.5,0.2,2.1
3,1,14628.0,0.7,0.2,0.1,1.9
4,1,14697.0,0.6,0.2,0.2,2.2
5,1,14706.0,0.5,0.2,0.3,2.0
6,2,14543.0,0.6,0.3,0.1,2.0
7,2,14501.0,0.4,0.2,0.4,2.0
8,2,14669.0,0.3,0.5,0.2,1.9
9,2,14763.0,0.3,0.3,0.4,1.8
10,2,14842.0,0.3,0.3,0.4,1.8
11,2,14803.0,0.3,0.3,0.4,1.8
12,3,14601.0,0.4,0.2,0.4,1.8
13,3,14688.0,0.5,0.2,0.3,2.1
14,3,14651.0,0.2,0.6,0.2,1.9
15,3,14609.0,0.6,0.3,0.1,1.8
16,3,14113.0,0.2,0.4,0.4,1.8
17,3,14757.0,0.3,0.3,0.4,2.1
18,4,14071.0,0.3,0.3,0.4,2.0
19,4,14060.0,0.2,0.7,0.1,1.8
20,4,14333.0,0.4,0.2,0.4,1.9
21,4,14703.0,0.6,0.2,0.2,1.9
22,4,14758.0,0.2,0.6,0.2,2.0
23,4,14520.0,0.6,0.1,0.3,2.0
24,5,14855.0,0.3,0.3,0.4,2.1
25,5,14597.0,0.6,0.3,0.1,2.2
26,5,15543.0,0.6,0.2,0.2,2.2
27,5,14766.0,0.2,0.7,0.1,2.1
28,5,14659.0,0.6,0.1,0.3,2.2
29,5,14660.0,0.6,0.2,0.2,1.8
30,6,15345.0,0.6,0.3,0.1,1.8
31,6,14700.0,0.4,0.2,0.4,1.9
32,6,14689.0,0.3,0.3,0.4,2.2
33,6,14125.0,0.4,0.2,0.4,2.1
34,6,14581.0,0.3,0.5,0.2,2.1
35,6,14695.0,0.4,0.2,0.4,2.0
36,7,14491.0,0.7,0.2,0.1,2.2
37,7,14656.0,0.2,0.6,0.2,2.1
38,7,14683.0,0.2,0.7,0.1,2.2
39,7,14131.0,0.6,0.3,0.1,1.9
40,7,14707.0,0.7,0.2,0.1,2.2
41,7,14565.0,0.3,0.3,0.4,1.9
42,8,14649.0,0.4,0.2,0.4,2.2
43,8,14352.0,0.4,0.2,0.4,1.8
44,8,14844.0,0.6,0.3,0.1,2.0
45,8,14729.0,0.2,0.4,0.4,1.9
46,8,14685.0,0.1,0.6,0.3,2.0
47,8,14477.0,0.6,0.3,0.1,2.0
48,9,14852.0,0.1,0.6,0.3,2.0
49,9,6377.0,0.6,0.2,0.2,2.2
50,9,14762.0,0.2,0.7,0.1,2.2
51,9,14720.0,0.6,0.3,0.1,1.9
52,9,14129.0,0.1,0.6,0.3,1.9
53,9,14646.0,0.6,0.1,0.3,2.1
54,10,14654.0,0.2,0.4,0.4,1.9
55,10,14841.0,0.3,0.3,0.4,1.9
56,10,14542.0,0.6,0.1,0.3,2.2
57,10,14498.0,0.4,0.3,0.3,2.0
58,10,11966.0,0.4,0.3,0.3,2.2
59,10,14638.0,0.4,0.2,0.4,1.9
60,11,14837.0,0.7,0.2,0.1,2.1
61,11,14631.0,0.6,0.3,0.1,2.1
62,11,14541.0,0.3,0.5,0.2,1.8
63,11,14655.0,0.5,0.2,0.3,1.8
64,11,14532.0,0.1,0.7,0.2,2.0
65,11,14634.0,0.6,0.1,0.3,2.1
66,12,14560.0,0.2,0.6,0.2,2.0
67,12,13346.0,0.3,0.5,0.2,1.9
68,12,14539.0,0.2,0.4,0.4,2.1
69,12,15554.0,0.7,0.2,0.1,2.0
70,12,14069.0,0.2,0.7,0.1,2.1
71,12,14848.0,0.1,0.7,0.2,1.9
